# time (s), x coordinate (m), y coordinate (m)
9.323999999999999773e+02,-5.895467021220724968e-01,1.012212596440113010e+01
9.360000000000000000e+02,-6.471490626789065947e-01,1.002452614581085300e+01
9.396000000000000227e+02,-7.038360165188299877e-01,9.930679637504260526e+00
9.432000000000000455e+02,-7.597081216718575281e-01,9.840921561724194078e+00
9.468000000000000682e+02,-8.148732200475683474e-01,9.755573158340109075e+00
9.503999999999999773e+02,-8.694459188749331657e-01,9.674940439642483625e+00
9.540000000000000000e+02,-9.235470278785619103e-01,9.599312896694106811e+00
9.576000000000000227e+02,-9.773029546289879743e-01,9.528962262817547213e+00
9.612000000000000455e+02,-1.030845060738949215e+00,9.464141339584795531e+00
9.648000000000000682e+02,-1.084308981800308658e+00,9.405082890437265419e+00
9.683999999999999773e+02,-1.137833914166077154e+00,9.351998606804722058e+00
9.720000000000000000e+02,-1.191561871877952150e+00,9.305078151309302825e+00
9.756000000000000227e+02,-1.245636917220719786e+00,9.264488282338820824e+00
9.792000000000000455e+02,-1.300204368549865208e+00,9.230372063951609363e+00
9.828000000000000682e+02,-1.355409989186850961e+00,9.202848164735398129e+00
9.863999999999999773e+02,-1.411399161307013372e+00,9.182010248886752990e+00
9.900000000000000000e+02,-1.468316048857018608e+00,9.167926462405791455e+00
9.936000000000000227e+02,-1.526302753631756826e+00,9.160639016916599431e+00
9.972000000000000455e+02,-1.585498468713842479e+00,9.160163873226595754e+00
1.000800000000000068e+03,-1.646038633532018070e+00,9.166490526331498856e+00
1.004399999999999977e+03,-1.708054094827367475e+00,9.179581893157001460e+00
1.008000000000000000e+03,-1.771670277828075291e+00,9.199374303906370898e+00
1.011600000000000023e+03,-1.837006371924279735e+00,9.225777597456072954e+00
1.015200000000000045e+03,-1.904174535104299126e+00,9.258675320811732945e+00
1.018800000000000068e+03,-1.973279121362212507e+00,9.297925032205462514e+00
1.022399999999999977e+03,-2.044415935214509705e+00,9.343358706985089412e+00
1.026000000000000000e+03,-2.117671517370507850e+00,9.394783245017823248e+00
1.029600000000000136e+03,-2.193122465487874706e+00,9.451981077907342765e+00
1.033200000000000045e+03,-2.270834793811215224e+00,9.514710873905800170e+00
1.036799999999999955e+03,-2.350863335338780669e+00,9.582708337992897896e+00
1.040400000000000091e+03,-2.433251189990702557e+00,9.655687104194493386e+00
1.044000000000000000e+03,-2.518029222062318606e+00,9.733339716825419430e+00
1.047600000000000136e+03,-2.605215610038899232e+00,9.815338696966062315e+00
1.051200000000000045e+03,-2.694815451624506419e+00,9.901337690122575808e+00
1.054799999999999955e+03,-2.786820426598477063e+00,9.990972690676906964e+00
1.058400000000000091e+03,-2.881208519859586481e+00,1.008386333840758020e+01
1.062000000000000000e+03,-2.977943806750861455e+00,1.017961428205570051e+01
1.065600000000000136e+03,-3.076976302479131675e+00,1.027781660462545688e+01
1.069200000000000045e+03,-3.178241877153480832e+00,1.037804930484501575e+01
1.072799999999999955e+03,-3.281662237667261284e+00,1.047988082897314399e+01
1.076400000000000091e+03,-3.387144977340807106e+00,1.058287064692125412e+01
1.080000000000000000e+03,-3.494583693927557189e+00,1.068657086646933863e+01
1.083600000000000136e+03,-3.603858176266559354e+00,1.079052787918954870e+01
1.087200000000000045e+03,-3.714834659540882988e+00,1.089428403155305602e+01
1.090799999999999955e+03,-3.827366148775610100e+00,1.099737931458511575e+01
1.094400000000000091e+03,-3.941292809882456005e+00,1.109935306535031430e+01
1.098000000000000000e+03,-4.056442427232222592e+00,1.119974567349548700e+01
1.101600000000000136e+03,-4.172630926412852936e+00,1.129810028605158223e+01
1.105200000000000045e+03,-4.289662960511037681e+00,1.139396450369838831e+01
1.108799999999999955e+03,-4.407332557941239237e+00,1.148689206172719146e+01
1.112400000000000091e+03,-4.525423829538500087e+00,1.157644448899605472e+01
1.116000000000000000e+03,-4.643711732332574726e+00,1.166219273826052927e+01
